# Triangle Configuration is k x [1 0 0], [-0.5       -0.8660254 -0.       ]
# k	 Btree	 Btreenw	 BZel	 BZelnw	 Bloop	 Bloopnw\ Bdamped
1.375000000000000389e-01 1.053058520984965935e+07 9.614015813527764753e+06 1.049588636854493432e+07 1.005636070781361498e+07 1.163826250322591513e+07 1.142327330502571166e+07 1.008187281591663137e+07
1.400000000000000411e-01 9.861106944957222790e+06 9.079204832207800820e+06 9.933140573267424479e+06 9.560443866833705455e+06 1.112329463982320577e+07 1.094710373497608304e+07 9.469053752989949659e+06
1.425000000000000433e-01 9.193155424104938284e+06 8.579784261443719268e+06 9.419692983861312270e+06 9.121190503289518878e+06 1.068404945081734285e+07 1.053717789686636627e+07 8.878584978225529194e+06
1.450000000000000455e-01 8.540078285052575171e+06 8.113053685121411458e+06 8.893268742743879557e+06 8.677970275332540274e+06 1.021913509624725953e+07 1.010570544960857183e+07 8.316341079068653286e+06
1.475000000000000477e-01 7.914842180186325684e+06 7.676544873330442235e+06 8.388785697826221585e+06 8.253123406450236216e+06 9.776820424768071622e+06 9.686802908363146707e+06 7.787412435159929097e+06
1.500000000000000222e-01 7.327714553720989265e+06 7.267999682543421164e+06 7.986109302024192177e+06 7.918043397022811696e+06 9.474320038280729204e+06 9.390951571253843606e+06 7.295148817489402369e+06
1.525000000000000244e-01 6.786780993232984096e+06 6.885350251624749973e+06 7.549335698402516544e+06 7.543028401064807549e+06 9.096379285643322393e+06 9.020224839847665280e+06 6.841569816929237917e+06
1.550000000000000266e-01 6.296843317004755139e+06 6.526701236247360706e+06 7.153740673905807547e+06 7.197171046665723436e+06 8.755803075367914513e+06 8.681452344075428322e+06 6.427010427419126034e+06
1.575000000000000289e-01 5.860231836728673428e+06 6.190313855295906775e+06 6.778644528628197499e+06 6.857788211727410555e+06 8.418370601520998403e+06 8.339376157901942730e+06 6.050619674660102464e+06
1.600000000000000311e-01 5.476670075521907769e+06 5.874591549715358764e+06 6.450719722339930013e+06 6.551209350328580476e+06 8.126577432940695435e+06 8.037762278237580322e+06 5.710404639093976468e+06
1.625000000000000333e-01 5.143841869945270941e+06 5.578067077764233574e+06 6.172148180562874302e+06 6.281304356403965503e+06 7.885246796628285199e+06 7.784251909704581834e+06 5.403566084746505134e+06
1.650000000000000355e-01 4.858185869990328327e+06 5.299390891057316214e+06 5.928196941285265610e+06 6.038953894079810008e+06 7.666447683009932749e+06 7.561820125193126500e+06 5.126898991168376058e+06
1.675000000000000377e-01 4.614558977433702908e+06 5.037320654073744081e+06 5.670914203856531531e+06 5.774262944471573457e+06 7.402750983054514974e+06 7.295039853441492654e+06 4.876720253455398604e+06
1.700000000000000400e-01 4.407772627437317744e+06 4.790711785335445777e+06 5.443365102692058310e+06 5.533061959154557437e+06 7.162615939427613281e+06 7.056740957210213877e+06 4.649533531781628728e+06
1.725000000000000422e-01 4.231417671484436840e+06 4.558508912541744299e+06 5.235126194649517536e+06 5.307607218336479738e+06 6.932740361154256389e+06 6.834884661928446963e+06 4.441618169981168583e+06
1.750000000000000444e-01 4.079654734471815638e+06 4.339738145984577015e+06 5.033509051095683128e+06 5.085605293588749133e+06 6.695817243531380780e+06 6.609442237542303279e+06 4.249743604190336540e+06
1.775000000000000466e-01 3.946572102286564186e+06 4.133500085428724997e+06 4.845410857658877969e+06 4.876525347625654191e+06 6.467085671607259661e+06 6.397297071239307523e+06 4.070933461239674129e+06
1.800000000000000488e-01 3.826782325528309681e+06 3.938963484920318238e+06 4.668310886472200975e+06 4.679208787085817195e+06 6.245426137270906940e+06 6.196680358836873434e+06 3.902673313116320409e+06
1.825000000000000511e-01 3.715281773882020731e+06 3.755359508551720064e+06 4.500453819713933393e+06 4.493059615808318369e+06 6.031795777681213804e+06 6.007461850540291518e+06 3.742837264480854385e+06
1.850000000000000533e-01 3.607331750671015587e+06 3.581976517283394933e+06 4.340148300225503743e+06 4.317344164627484046e+06 5.826680080836666748e+06 5.828453793581625447e+06 3.589624604111066088e+06
1.875000000000000555e-01 3.499059243782189209e+06 3.418155333662318997e+06 4.186059056097818539e+06 4.151211254774129950e+06 5.631392961835658178e+06 5.659390801399631426e+06 3.441707981612645555e+06
1.900000000000000577e-01 3.387484322124435566e+06 3.263284936834473163e+06 4.037343740602423437e+06 3.994305315317702480e+06 5.447230301302505657e+06 5.499138491070891730e+06 3.298177604152574204e+06
1.925000000000000322e-01 3.270386652147697285e+06 3.116798545457201079e+06 3.893419957523314282e+06 3.845908920575509313e+06 5.275688498143341392e+06 5.347676035233684815e+06 3.158442488861725666e+06
1.950000000000000344e-01 3.147066084108864423e+06 2.978170050531423185e+06 3.753809842372883111e+06 3.705248006561528891e+06 5.117132928235899657e+06 5.203972973687970079e+06 3.022375746693711728e+06
1.975000000000000366e-01 3.017917561229703948e+06 2.846910764219424687e+06 3.618927328141766600e+06 3.572346850269273855e+06 4.972890014422980137e+06 5.067988096881529316e+06 2.890127422837477177e+06
2.000000000000000389e-01 2.883847095019983128e+06 2.722566454232992604e+06 3.480839662330353633e+06 3.438789894045751076e+06 4.828256576728741638e+06 4.925471906950676814e+06 2.761933292820959818e+06
2.025000000000000411e-01 2.746898924216057174e+06 2.604714636544511188e+06 3.349881561752664857e+06 3.313576932055288926e+06 4.700104086375836283e+06 4.791804238389981911e+06 2.638244045624106657e+06
2.050000000000000433e-01 2.609131096392909531e+06 2.492962101948886178e+06 3.229852638777414337e+06 3.200522718531056307e+06 4.594383969800004736e+06 4.675720257478160784e+06 2.519433701568387449e+06
2.075000000000000455e-01 2.472735427696980070e+06 2.386942654522929341e+06 3.115026226966703776e+06 3.093011080227376893e+06 4.498784676690374501e+06 4.565023271437151358e+06 2.405835752013760153e+06
